id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,zipcode,yr_built,lat,long,price_per_sqft
7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,98178,1955,47.5112,-122.257,188.05084745762713
6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,98125,1951,47.721,-122.319,209.3385214007782
5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,98028,1933,47.7379,-122.233,233.76623376623377
2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,98136,1965,47.5208,-122.393,308.16326530612247
1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,98074,1987,47.6168,-122.045,303.57142857142856
7237550310,2014-05-12,1225000.0,4,4.5,5420,101930,1.0,98053,2001,47.6561,-122.005,226.01476014760146
1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,98003,1995,47.3097,-122.327,150.14577259475217
2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,98198,1963,47.4095,-122.315,275.3301886792453
2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,98146,1960,47.5123,-122.337,128.93258426966293
3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,98038,2003,47.3684,-122.031,170.8994708994709
1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,98007,1965,47.6007,-122.145,186.09550561797752
9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,98115,1942,47.69,-122.292,403.44827586206895
114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,98028,1927,47.7558,-122.229,216.78321678321677
6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,98074,1977,47.6127,-122.045,291.97080291970804
1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,98107,1900,47.67,-122.394,292.81767955801104
9297300055,2015-01-24,650000.0,4,3.0,2950,5000,2.0,98126,1979,47.5714,-122.375,220.33898305084745
1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,98019,1994,47.7277,-121.962,208.994708994709
6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,98103,1916,47.6648,-122.343,303.125
16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,98002,1921,47.3089,-122.21,157.5
7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,98003,1969,47.3343,-122.306,184.0
6300500875,2014-05-14,385000.0,4,1.75,1620,4980,1.0,98133,1947,47.7025,-122.341,237.65432098765433
2524049179,2014-08-26,2000000.0,3,2.75,3050,44867,1.0,98040,1968,47.5316,-122.233,655.7377049180328
7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,98092,1995,47.3266,-122.169,125.55066079295155
8091400200,2014-05-16,252700.0,2,1.5,1070,9643,1.0,98030,1985,47.3533,-122.166,236.16822429906543
3814700200,2014-11-20,329000.0,3,2.25,2450,6500,2.0,98030,1985,47.3739,-122.172,134.28571428571428
1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,98002,1941,47.3048,-122.218,136.25730994152048
1794500383,2014-06-26,937000.0,3,1.75,2450,2691,2.0,98119,1915,47.6386,-122.36,382.44897959183675
3303700376,2014-12-01,667000.0,3,1.0,1400,1581,1.5,98112,1909,47.6221,-122.314,476.42857142857144
5101402488,2014-06-24,438000.0,3,1.75,1520,6380,1.0,98115,1948,47.695,-122.304,288.1578947368421
1873100390,2015-03-02,719000.0,4,2.5,2570,7173,2.0,98052,2005,47.7073,-122.11,279.76653696498056
8562750320,2014-11-10,580500.0,3,2.5,2320,3980,2.0,98027,2003,47.5391,-122.07,250.2155172413793
2426039314,2014-12-01,280000.0,2,1.5,1190,1265,3.0,98133,2005,47.7274,-122.357,235.2941176470588
461000390,2014-06-24,687500.0,4,1.75,2330,5000,1.5,98117,1929,47.6823,-122.368,295.06437768240346
7589200193,2014-11-10,535000.0,3,1.0,1090,3000,1.5,98117,1929,47.6889,-122.375,490.8256880733945
7955080270,2014-12-03,322500.0,4,2.75,2060,6659,1.0,98058,1981,47.4276,-122.157,156.55339805825244
9547205180,2014-06-13,696000.0,3,2.5,2300,3060,1.5,98115,1930,47.6827,-122.31,302.60869565217394
9435300030,2014-05-28,550000.0,4,1.0,1660,34848,1.0,98052,1933,47.6621,-122.132,331.32530120481925
2768000400,2014-12-30,640000.0,4,2.0,2360,6000,2.0,98107,1904,47.6702,-122.362,271.1864406779661
7895500070,2015-02-13,240000.0,4,1.0,1220,8075,1.0,98001,1969,47.3341,-122.282,196.72131147540983
2078500320,2014-06-20,605000.0,4,2.5,2620,7553,2.0,98056,1996,47.5301,-122.18,230.91603053435114
5547700270,2014-07-15,625000.0,4,2.5,2570,5520,2.0,98074,2000,47.6145,-122.027,243.19066147859922
7766200013,2014-08-11,775000.0,4,2.25,4220,24186,1.0,98166,1984,47.445,-122.347,183.64928909952607
7203220400,2014-07-07,861990.0,5,2.75,3595,5639,2.0,98053,2014,47.6848,-122.016,239.77468706536857
9270200160,2014-10-28,685000.0,3,1.0,1570,2280,2.0,98119,1922,47.6413,-122.364,436.30573248407643
1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,98058,1959,47.4485,-122.175,241.40625
